geometry,source,diamond_um,pitch_um,ribbon_width_nm,graphene_layers,network_depth_fraction,mean_carrier_travel_um,graphene_interface_area_ratio,added_trap_density_cm3,interface_loss_fraction,trap_penalty_fraction,carrier_survival_fraction,collection_efficiency,current_density_A_cm2,voltage_V,power_density_W_cm2,net_power_ratio_vs_baseline,lifetime_years,manufacturability_score,geometry_departure_score,dominant_loss,dominant_loss_fraction
honeycomb_mesh,Ni63,20.0,6.0,100.0,1,0.75,2.082918333333333,9.280833333333334,27280562500000.008,0.20035536511466825,0.07869295220711751,0.8490096675826657,0.22859305855132472,4.789376746764575e-09,0.4789376746764575,2.293812962244922e-09,5.8844376638252465,0.0008760426788656669,0.38294500000000004,4.21645,graphene_diamond_interface,0.20035536511466825
honeycomb_mesh,Ni63,20.0,6.0,100.0,2,0.75,2.3259066708678353,14.563188497126855,41852237465597.69,0.2103079447981615,0.07895622807958493,0.8154903111734093,0.19795329611480897,4.147426520148699e-09,0.4147426520148699,1.7201146740032745e-09,4.412699614312575,0.0008821639427495599,0.21786260705171667,4.414868688115708,graphene_diamond_interface,0.2103079447981615
fractal_tree,Ni63,20.0,2.0,25.0,1,0.75,2.116583125,32.276875,87277570312499.98,0.2410042683485003,0.07977255539415129,0.8423050935484362,0.13634543701465057,2.8566469590274314e-09,0.2856646959027431,8.16043184852067e-10,2.093438014035724,0.0008922103464418392,0.0,5.6724125,geometric_occlusion,0.36630312499999995
fractal_tree,Ni63,20.0,2.0,25.0,2,0.75,2.686083216997673,50.64784570960237,136120306385871.4,0.2622967737194083,0.0806429319978951,0.7647389366734317,0.06795449172840023,1.4237512922953963e-09,0.14237512922953963,2.027067742312811e-10,0.5200142281137342,0.0009077105018600268,0.0,6.130963903680825,geometric_occlusion,0.6427582448031377
fractal_tree,Ni63,20.0,2.0,100.0,1,0.75,2.1190825,32.3575,103607156250000.02,0.2348786799192205,0.08006439276564581,0.8413932784902591,0.13836115335849244,2.898879321840417e-09,0.2898879321840417,8.403501322593955e-10,2.1557938901121756,0.0009100528070651676,0.0,5.75465,geometric_occlusion,0.37396250000000003
fractal_tree,Ni63,20.0,2.0,100.0,2,0.75,2.690005156757035,50.77435989538823,159245529825569.2,0.253569895494067,0.08105238898412205,0.7633141989683678,0.06839669907101067,1.4330162173870365e-09,0.14330162173870364,2.0535354792942503e-10,0.5268041343063199,0.0009334876372236333,0.0,6.247515155862873,geometric_occlusion,0.653777635067232
fractal_tree,Ni63,20.0,6.0,25.0,1,0.75,2.0106352083333334,10.758958333333332,29092523437500.004,0.2052962859246087,0.07872572761142617,0.8588702125271148,0.2208635773575123,4.627432207727369e-09,0.46274322077273694,2.1413128837112595e-09,5.4932212827906115,0.0008730932710229618,0.13616005952380952,5.224137499999999,graphene_diamond_interface,0.2052962859246087
fractal_tree,Ni63,20.0,6.0,25.0,2,0.75,2.2739524551709676,16.88261523653412,45373435461957.13,0.21722508710940192,0.07901974456299089,0.8223486780175268,0.18703604316435804,3.9186932517336515e-09,0.39186932517336515,1.535615680118286e-09,3.9393947518742016,0.0008782235732165837,0.0,5.430321301226942,graphene_diamond_interface,0.21722508710940192
fractal_tree,Ni63,20.0,6.0,100.0,1,0.75,2.0117908333333334,10.785833333333333,34535718750000.004,0.20330144287799373,0.07882412194089493,0.8585292020858313,0.22288126759356128,4.669705926623069e-09,0.4669705926623069,2.1806153441138614e-09,5.5940459280780495,0.0008788704580302423,0.19271166666666667,5.25155,graphene_diamond_interface,0.20330144287799373
fractal_tree,Ni63,20.0,6.0,100.0,2,0.75,2.2757658251672312,16.924786631796074,53081843275189.734,0.21438650771310178,0.07915865126098577,0.821818506279066,0.18857207831183898,3.950875554486763e-09,0.39508755544867624,1.5609417647041083e-09,4.004365073546891,0.000886454170116751,0.0,5.469171718620958,graphene_diamond_interface,0.21438650771310178
random_percolating_nanoribbons,Ni63,20.0,2.0,25.0,1,0.75,2.5361375,42.035,143088312500000.0,0.253511209268074,0.08076648535175332,0.7837577494660155,0.09587858307415686,2.0088040258011645e-09,0.20088040258011644,4.0352936140749656e-10,1.0351948532027173,0.0009091694967292258,0.022857142857142798,6.8757,geometric_occlusion,0.5133249999999999
random_percolating_nanoribbons,Ni63,20.0,2.0,25.0,2,0.75,3.3136995160808445,65.95998511017983,223444946730818.9,0.2765204048560228,0.08218034259558897,0.6868519936332945,0.02119541127732327,4.44076519877928e-10,0.0444076519877928,1.9720395550689175e-11,0.050589756110906756,0.0009341498895835838,0.0,7.448697176886656,geometric_occlusion,0.873359574627342
