geometry,source,diamond_um,pitch_um,ribbon_width_nm,graphene_layers,network_depth_fraction,mean_carrier_travel_um,graphene_interface_area_ratio,added_trap_density_cm3,interface_loss_fraction,trap_penalty_fraction,carrier_survival_fraction,collection_efficiency,current_density_A_cm2,voltage_V,power_density_W_cm2,net_power_ratio_vs_baseline,lifetime_years,manufacturability_score,geometry_departure_score,dominant_loss,dominant_loss_fraction
straight_fingers,Ni63,8.0,1.5,30.0,2,0.65,1.078951838992602,10.91094952141748,46231947782263.64,0.23332877199401927,0.0790352245948294,0.9737827883518159,0.11346301723557153,2.377225012035018e-09,0.2377225012035018,5.651198757844892e-10,1.8653850977655049,0.0007685843405561314,0.6123190762143965,1.3265032616758115,graphene_diamond_interface,0.23332877199401927
straight_fingers,Ni63,8.0,1.5,30.0,2,0.9,0.6642401745659353,15.095398043533484,61792865723882.53,0.24784994859029602,0.07931539431459178,0.9972706848947052,0.10623955383612697,2.225882325360054e-09,0.2225882325360054,4.954552126350281e-10,1.6354313657374777,0.0007723856743589481,0.5704745909932365,1.4101922321181315,graphene_diamond_interface,0.24784994859029602
straight_fingers,Ni63,8.0,1.5,30.0,4,0.35,1.583462675532821,9.241790729509171,42367909275362.23,0.2258675176714799,0.07896553243989257,0.9164508599438289,0.11013830301612075,2.3075671270879123e-09,0.23075671270879122,5.324866046016761e-10,1.7576670358742001,0.0007692709693069146,0.4890106641334797,1.4648358145901834,graphene_diamond_interface,0.2258675176714799
straight_fingers,Ni63,8.0,1.5,30.0,4,0.65,1.2217856444230826,17.121114974916637,71669146312971.23,0.2531395122108545,0.07949280893810969,0.9594746141486303,0.09735383443745736,2.039712814632291e-09,0.2039712814632291,4.1604283661751825e-10,1.3733017377615093,0.0007764440921456757,0.410217421679405,1.6224222994983328,graphene_diamond_interface,0.2531395122108545
straight_fingers,Ni63,8.0,1.5,30.0,4,0.9,0.7759338406658305,23.68721851275619,96086843844312.1,0.27009914773371957,0.07993009778844581,0.9934819949722404,0.08706190490796113,1.8240810352585452e-09,0.18240810352585451,3.327271623189886e-10,1.0982878444154005,0.0007824216945113101,0.3814285714285714,1.7537443702551239,graphene_diamond_interface,0.27009914773371957
straight_fingers,Ni63,8.0,1.5,60.0,1,0.35,1.4,3.773333333333333,22032083333333.336,0.20002714398860616,0.07859795555196243,0.940067269074576,0.12080917920618593,2.5311384228052197e-09,0.253113842280522,6.406661715400896e-10,2.1147533120727005,0.0007642926341832949,0.7822666666666667,1.1154666666666666,graphene_diamond_interface,0.20002714398860616
straight_fingers,Ni63,8.0,1.5,60.0,1,0.65,0.9883866666666666,6.973333333333334,33932083333333.336,0.2160150826588236,0.07881321502282981,0.9813311995955032,0.12336288132902905,2.584642416508345e-09,0.2584642416508345,6.680376421214097e-10,2.2051028741995737,0.0007672058272908656,0.7502666666666666,1.1794666666666667,graphene_diamond_interface,0.2160150826588236
straight_fingers,Ni63,8.0,1.5,60.0,1,0.9,0.5933200000000001,9.639999999999999,43848749999999.99,0.2274881263201889,0.078992246731633,0.9986714611542209,0.12046624958737857,2.5239535189743623e-09,0.2523953518974362,6.370341365943067e-10,2.1027644506775465,0.0007696334882138411,0.7236,1.2328000000000001,graphene_diamond_interface,0.2274881263201889
straight_fingers,Ni63,8.0,1.5,60.0,2,0.35,1.467234813057795,5.920994658794145,33332407386375.484,0.20983651394202843,0.07880237847619831,0.9315659851929463,0.11794086293950148,2.471042778094553e-09,0.2471042778094553,6.106052411173246e-10,2.015526202854946,0.0007693701849703212,0.6907900534120586,1.2549884356708068,graphene_diamond_interface,0.20983651394202843
straight_fingers,Ni63,8.0,1.5,60.0,2,0.65,1.079673656362667,10.942332885333352,52005508916318.164,0.23135776301482244,0.07913926708437674,0.9736522873197015,0.1142613861028198,2.3939520697697178e-09,0.23939520697697178,5.731006512354716e-10,1.8917285697133093,0.0007739552483182746,0.6405766711466665,1.355415200201591,graphene_diamond_interface,0.23135776301482244
