case_id,architecture,loss_channel,loss_fraction
11,ferrite_graphene,carrier_mobility,0.25483473335379436
11,ferrite_graphene,thermal_effects,0.0
11,ferrite_graphene,interface:band_alignment_mismatch,0.2799943594958288
11,ferrite_graphene,interface:interface_trap_states,0.02666666666666667
11,ferrite_graphene,interface:carrier_scattering,0.006
11,ferrite_graphene,interface:contact_resistance,0.041495395948168826
11,ferrite_graphene,interface:surface_recombination_velocity,2.178095091566517e-05
11,ferrite_graphene,interface:graphene_band_alignment_mismatch,0.20999975142093952
11,ferrite_graphene,interface:graphene_interface_trap_states,0.013526011560693642
11,ferrite_graphene,interface:graphene_carrier_scattering,0.0039000000000000007
11,ferrite_graphene,interface:graphene_contact_resistance,0.02896684349922824
11,ferrite_graphene,interface:graphene_surface_recombination_velocity,0.00018039348990599
12,ferrite_graphene,interface_losses,0.49885781980138033
12,ferrite_graphene,bulk_recombination,0.9998237519378064
12,ferrite_graphene,trap_density,0.2784130965357011
12,ferrite_graphene,carrier_mobility,0.2760582004829697
12,ferrite_graphene,thermal_effects,0.0
12,ferrite_graphene,interface:band_alignment_mismatch,0.27999604220227986
12,ferrite_graphene,interface:interface_trap_states,0.02666666666666667
12,ferrite_graphene,interface:carrier_scattering,0.010000000000000002
12,ferrite_graphene,interface:contact_resistance,0.041495395948168826
12,ferrite_graphene,interface:surface_recombination_velocity,2.84764050552974e-05
12,ferrite_graphene,interface:graphene_band_alignment_mismatch,0.20999975142093952
12,ferrite_graphene,interface:graphene_interface_trap_states,0.013526011560693642
12,ferrite_graphene,interface:graphene_carrier_scattering,0.0039000000000000007
12,ferrite_graphene,interface:graphene_contact_resistance,0.02896684349922824
12,ferrite_graphene,interface:graphene_surface_recombination_velocity,0.00023579972741952205
13,graded_interface,interface_losses,0.3161611491654942
13,graded_interface,bulk_recombination,0.9957742684280867
13,graded_interface,trap_density,0.2786993723622124
13,graded_interface,carrier_mobility,0.16939153381630298
13,graded_interface,thermal_effects,0.0
13,graded_interface,interface:band_alignment_mismatch,0.2799995900585081
13,graded_interface,interface:interface_trap_states,0.010059880239520959
13,graded_interface,interface:carrier_scattering,0.004900000000000001
13,graded_interface,interface:contact_resistance,0.03584003330613286
13,graded_interface,interface:surface_recombination_velocity,8.564948031560283e-06
14,graded_interface,interface_losses,0.3142313473860563
14,graded_interface,bulk_recombination,0.9997336565198911
14,graded_interface,trap_density,0.27884117436562
14,graded_interface,carrier_mobility,0.25483473335379436
14,graded_interface,thermal_effects,0.0
14,graded_interface,interface:band_alignment_mismatch,0.2799943594958288
14,graded_interface,interface:interface_trap_states,0.010059880239520959
14,graded_interface,interface:carrier_scattering,0.0021
14,graded_interface,interface:contact_resistance,0.03584003330613286
14,graded_interface,interface:surface_recombination_velocity,7.627774627186877e-06
15,graded_interface,interface_losses,0.3151966558779845
15,graded_interface,bulk_recombination,0.9998201231479226
15,graded_interface,trap_density,0.27848534548728293
15,graded_interface,carrier_mobility,0.2760582004829697
15,graded_interface,thermal_effects,0.0
15,graded_interface,interface:band_alignment_mismatch,0.27999604220227986
15,graded_interface,interface:interface_trap_states,0.010059880239520959
15,graded_interface,interface:carrier_scattering,0.0034999999999999996
15,graded_interface,interface:contact_resistance,0.03584003330613286
15,graded_interface,interface:surface_recombination_velocity,9.981028195153997e-06
16,graded_interface,interface_losses,0.3161611355219247
16,graded_interface,bulk_recombination,0.9958146286171857
16,graded_interface,trap_density,0.27863858295447397
16,graded_interface,carrier_mobility,0.16939153381630298
16,graded_interface,thermal_effects,0.0
16,graded_interface,interface:band_alignment_mismatch,0.2799995900585081
16,graded_interface,interface:interface_trap_states,0.010059880239520959
16,graded_interface,interface:carrier_scattering,0.004900000000000001
16,graded_interface,interface:contact_resistance,0.03584003330613286
16,graded_interface,interface:surface_recombination_velocity,8.544996762804698e-06
17,graded_interface,interface_losses,0.31423134455767976
17,graded_interface,bulk_recombination,0.9997385601254432
17,graded_interface,trap_density,0.2787848207602622
17,graded_interface,carrier_mobility,0.25483473335379436
17,graded_interface,thermal_effects,0.0
17,graded_interface,interface:band_alignment_mismatch,0.2799943594958288
17,graded_interface,interface:interface_trap_states,0.010059880239520959
17,graded_interface,interface:carrier_scattering,0.0021
17,graded_interface,interface:contact_resistance,0.03584003330613286
17,graded_interface,interface:surface_recombination_velocity,7.62365026968578e-06
18,graded_interface,interface_losses,0.315196646466087
18,graded_interface,bulk_recombination,0.9998237519378064
18,graded_interface,trap_density,0.2784130965357011
18,graded_interface,carrier_mobility,0.2760582004829697
